"filename", "language", "Properties", "SQL", "PHP", "CSS", "Markdown", "JSON", "JavaScript", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\scss\planningpoker.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\components\create_account_box.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\components\invite_box.php", "PHP", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 8, 97
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\components\last_error.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\components\play_box.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\components\profile.php", "PHP", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 2, 88
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\layouts\nav.php", "PHP", 0, 0, 168, 0, 0, 0, 0, 0, 0, 26, 23, 217
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\pages\game.php", "PHP", 0, 0, 453, 0, 0, 0, 0, 0, 0, 2, 20, 475
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\pages\index.php", "PHP", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 10, 134
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\pages\information.php", "PHP", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 9, 153
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\pages\login.php", "PHP", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 11, 196
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\pages\logout.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\pages\register.php", "PHP", 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 29, 262
